BANK
002
00-44
10/12/2005
1890.24
 9/ 5/2014 12:12:54 Transfer_from_101_00-44 20
19/ 4/2014 16:50:21 Transfer_from_101_00-44 1000
19/ 4/2014 16:37:27 Transfer_from_101_00-44 10
19/ 4/2014 16:34:18 Transfer_from_101_00-44 10
19/ 4/2014 16:24:09 Transfer_from_101_00-44 10
19/ 4/2014 16:06:05 Transfer_from_001_00-44 10
19/ 4/2014 13:05:51 Transfer_from_001_00-44 10
18/ 4/2014 00:57:00 Transfer_from_001_00-44 100
18/ 4/2014 00:40:50 Transfer_from_001_00-44 150
18/ 4/2014 00:37:38 deposit_to_ATM 50
18/ 4/2014 00:36:11 deposit_to_ATM 100
